slot,time,hour,mean,q05,q95
17,04:15,11,0.015151098367502001,0.0,0.04715489933527631
17,04:15,12,0.0061340876267632774,0.0,0.02714507036817468
17,04:15,13,0.001916513996459126,0.0,0.015069239648223598
17,04:15,14,0.0006672507697907598,0.0,0.007520597085340863
17,04:15,15,0.00030740707381547163,0.0,0.00040445901387189953
17,04:15,16,0.0000998073778251455,0.0,0.0
17,04:15,17,0.000028543218433249154,0.0,0.0
17,04:15,18,0.000020850424763825752,0.0,0.0
17,04:15,19,0.000013513255483659975,0.0,0.0
17,04:15,20,6.4935339819405734e-6,0.0,0.0
17,04:15,21,0.0,0.0,0.0
17,04:15,22,0.0,0.0,0.0
17,04:15,23,0.0,0.0,0.0
18,04:30,0,0.010374759222617512,0.0,0.06245681194520232
18,04:30,1,0.020559461030269337,0.0,0.08867889514664365
18,04:30,2,0.041139842275792565,0.0,0.1258035517320254
18,04:30,3,0.0710275311235521,0.0,0.22150654859605767
18,04:30,4,0.10280879049065612,0.0,0.29276253516024175
18,04:30,5,0.12805147992940136,0.0138348603053009,0.20752522414158314
18,04:30,6,0.20480225879857264,0.08790240055563531,0.45362305187322916
18,04:30,7,0.20155715758926473,0.011751996754727045,0.494213115692795
18,04:30,8,0.10203742842656682,0.0,0.19911138295852676
18,04:30,9,0.054820441645165655,0.0,0.1347265663552496
18,04:30,10,0.03276016817839753,0.0,0.0900960789076648
18,04:30,11,0.018266424193417122,0.0,0.05600197807219112
18,04:30,12,0.0079509350246203,0.0,0.030266311829575954
18,04:30,13,0.0025236199328295896,0.0,0.01765920463452897
18,04:30,14,0.0007790111395638815,0.0,0.00790413981094601
18,04:30,15,0.00034496598714064866,0.0,0.0012160398274931317
18,04:30,16,0.00013208357070667754,0.0,0.0
18,04:30,17,0.000027236845681592874,0.0,0.0
18,04:30,18,0.00001944830176309842,0.0,0.0
18,04:30,19,0.00001202607990208241,0.0,0.0
18,04:30,20,4.9302141081914995e-6,0.0,0.0
18,04:30,21,0.0,0.0,0.0
18,04:30,22,0.0,0.0,0.0
18,04:30,23,0.0,0.0,0.0
19,04:45,0,0.008749137767690514,0.0,0.059083761877613744
19,04:45,1,0.016534252521181427,0.0,0.08031836362028782
19,04:45,2,0.03407989143914577,0.0,0.11105900891819384
19,04:45,3,0.0629649476209727,0.0,0.19964494178151654
19,04:45,4,0.09604027459707254,0.0,0.2866533275663225
19,04:45,5,0.11753379684471009,0.0,0.23134256196181213
19,04:45,6,0.17789263397540694,0.09161325653217853,0.3170769556581051
19,04:45,7,0.2287308908494897,0.03827274818869725,0.6245335030960415
19,04:45,8,0.12250616527818585,0.0,0.23998877908310734
19,04:45,9,0.06281756280652659,0.0,0.14645959462058455
19,04:45,10,0.036607260171806585,0.0,0.09964997868982284
19,04:45,11,0.021175001714784175,0.0,0.06284727835550766
19,04:45,12,0.009522722555723635,0.0,0.03545649263523121
19,04:45,13,0.003223605526812096,0.0,0.021040094070669035
19,04:45,14,0.0009854130002208558,0.0,0.00923707524363912
19,04:45,15,0.00040327458311767385,0.0,0.0024524799157140398
19,04:45,16,0.0001616356321598178,0.0,0.0
19,04:45,17,0.000029347163456221694,0.0,0.0
19,04:45,18,0.00002145985683651913,0.0,0.0
19,04:45,19,0.000013950093631698544,0.0,0.0
19,04:45,20,6.776001058218427e-6,0.0,0.0
19,04:45,21,0.0,0.0,0.0
19,04:45,22,0.0,0.0,0.0
19,04:45,23,0.0,0.0,0.0
20,05:00,0,0.007511250387191616,0.0,0.055964787238162825
20,05:00,1,0.013757937590548816,0.0,0.07211914161442978
20,05:00,2,0.028909266017040268,0.0,0.10052982984173084
20,05:00,3,0.055023343438220025,0.0,0.17620903980389935
20,05:00,4,0.08728851267140081,0.0,0.2664478034674959
20,05:00,5,0.11001372490473439,0.0,0.2533977987451169
20,05:00,6,0.15101006155057062,0.09404163499628439,0.2258563385438761
20,05:00,7,0.24871918370564153,0.06349018954809621,0.7398367869374444
20,05:00,8,0.14173501472286146,0.0,0.2693503786406306
20,05:00,9,0.07235799489625933,0.0,0.15786321101437586
20,05:00,10,0.04129372465308417,0.0,0.10693146464405764
20,05:00,11,0.024381127784560603,0.0,0.06823722117495301
20,05:00,12,0.011839891527574087,0.0,0.04118700929801122
20,05:00,13,0.004210237236090704,0.0,0.02421055349546769
20,05:00,14,0.0012302138721330062,0.0,0.010745814347852184
20,05:00,15,0.000458796210093544,0.0,0.003860909700625359
20,05:00,16,0.00018145382542626503,0.0,0.0
20,05:00,17,0.00003191180639321805,0.0,0.0
20,05:00,18,0.000022651874127139233,0.0,0.0
20,05:00,19,0.000015051962413945706,0.0,0.0
20,05:00,20,7.797468087144952e-6,0.0,0.0
20,05:00,21,8.518955566359163e-7,0.0,0.0
20,05:00,22,0.0,0.0,0.0
20,05:00,23,0.0,0.0,0.0
21,05:15,0,0.006495805519663191,0.0,0.05233809786372559
21,05:15,1,0.01177560198531929,0.0,0.06527198837083861
21,05:15,2,0.02446735189905204,0.0,0.09003954815196584
21,05:15,3,0.04783271333834493,0.0,0.14195290023264923
21,05:15,4,0.07859923166049519,0.0,0.24504846578979114
