model,variant,C,p_star_kind,kind,condition,bin,n,share,n_all,share_all
M2,main,C50,pstar,FN,daytype,wk,3,1.0,37,0.7254901960784313
M2,main,C50,pstar,FP,daytype,sat,0,0.0,7,0.13725490196078433
M2,main,C50,pstar,FP,daytype,sun,0,0.0,7,0.13725490196078433
M2,main,C50,pstar,FP,daytype,wk,1,1.0,37,0.7254901960784313
M2,main,C50,pstar,all,daytype,sat,7,0.13725490196078433,7,0.13725490196078433
M2,main,C50,pstar,all,daytype,sun,7,0.13725490196078433,7,0.13725490196078433
M2,main,C50,pstar,all,daytype,wk,37,0.7254901960784313,37,0.7254901960784313
M2,main,C50,pstar,FN,month,07,0,0.0,22,0.43137254901960786
M2,main,C50,pstar,FN,month,08,3,1.0,29,0.5686274509803921
M2,main,C50,pstar,FP,month,07,0,0.0,22,0.43137254901960786
M2,main,C50,pstar,FP,month,08,1,1.0,29,0.5686274509803921
M2,main,C50,pstar,all,month,07,22,0.43137254901960786,22,0.43137254901960786
M2,main,C50,pstar,all,month,08,29,0.5686274509803921,29,0.5686274509803921
M2,main,C50,pstar,FN,op_next,0,0,0.0,13,0.2549019607843137
M2,main,C50,pstar,FN,op_next,1,3,1.0,38,0.7450980392156863
M2,main,C50,pstar,FP,op_next,0,0,0.0,13,0.2549019607843137
M2,main,C50,pstar,FP,op_next,1,1,1.0,38,0.7450980392156863
M2,main,C50,pstar,all,op_next,0,13,0.2549019607843137,13,0.2549019607843137
M2,main,C50,pstar,all,op_next,1,38,0.7450980392156863,38,0.7450980392156863
M2,main,C50,pstar,FN,op_prev,0,3,1.0,15,0.29411764705882354
M2,main,C50,pstar,FN,op_prev,1,0,0.0,36,0.7058823529411765
M2,main,C50,pstar,FP,op_prev,0,0,0.0,15,0.29411764705882354
M2,main,C50,pstar,FP,op_prev,1,1,1.0,36,0.7058823529411765
M2,main,C50,pstar,all,op_prev,0,15,0.29411764705882354,15,0.29411764705882354
M2,main,C50,pstar,all,op_prev,1,36,0.7058823529411765,36,0.7058823529411765
M2,main,C50,pstar,FN,optype,k0,0,0.0,14,0.27450980392156865
M2,main,C50,pstar,FN,optype,k1,0,0.0,5,0.09803921568627451
M2,main,C50,pstar,FN,optype,k2,3,1.0,8,0.1568627450980392
M2,main,C50,pstar,FN,optype,k3,0,0.0,24,0.47058823529411764
M2,main,C50,pstar,FP,optype,k0,0,0.0,14,0.27450980392156865
M2,main,C50,pstar,FP,optype,k1,0,0.0,5,0.09803921568627451
M2,main,C50,pstar,FP,optype,k2,0,0.0,8,0.1568627450980392
M2,main,C50,pstar,FP,optype,k3,1,1.0,24,0.47058823529411764
M2,main,C50,pstar,all,optype,k0,14,0.27450980392156865,14,0.27450980392156865
