model,variant,fold,stratum,metric,value,n
B3,main,f3,all,mae,8.263998817829858,1344
B3,main,f3,all,rmse,14.097962050009906,1344
B3,main,f3,all,crps,6.533750022664167,1344
B3,main,f3,all,cov50,0.41964285714285715,1344
B3,main,f3,all,cov80,0.7931547619047619,1344
B3,main,f3,all,cov90,0.9069940476190477,1344
B3,main,f3,op,mae,12.970268824448189,768
B3,main,f3,op,rmse,18.495215652923402,768
B3,main,f3,op,crps,10.352224502674297,768
B3,main,f3,op,cov50,0.5182291666666666,768
B3,main,f3,op,cov80,0.8098958333333334,768
B3,main,f3,op,cov90,0.8763020833333334,768
B3,main,f3,nonop,mae,1.9889721423387527,576
B3,main,f3,nonop,rmse,2.7674133260781555,576
B3,main,f3,nonop,crps,1.4424507159839945,576
B3,main,f3,nonop,cov50,0.2881944444444444,576
B3,main,f3,nonop,cov80,0.7708333333333334,576
B3,main,f3,nonop,cov90,0.9479166666666666,576
B3,main,f4,all,mae,10.734124611758586,1272
B3,main,f4,all,rmse,16.442274489540676,1272
B3,main,f4,all,crps,8.477999973713251,1272
B3,main,f4,all,cov50,0.5762578616352201,1272
B3,main,f4,all,cov80,0.8679245283018868,1272
B3,main,f4,all,cov90,0.9261006289308176,1272
B3,main,f4,op,mae,11.861986069653852,1126
B3,main,f4,op,rmse,17.447613269198254,1126
B3,main,f4,op,crps,9.385237303831522,1126
B3,main,f4,op,cov50,0.5959147424511545,1126
B3,main,f4,op,cov80,0.8783303730017762,1126
B3,main,f4,op,cov90,0.9307282415630551,1126
B3,main,f4,nonop,mae,2.035686244703319,146
B3,main,f4,nonop,rmse,2.7537315605244443,146
B3,main,f4,nonop,crps,1.4810874140339958,146
B3,main,f4,nonop,cov50,0.4246575342465753,146
B3,main,f4,nonop,cov80,0.7876712328767124,146
B3,main,f4,nonop,cov90,0.8904109589041096,146
B3,main,pooled,all,mae,9.944506156197384,5016
B3,main,pooled,all,rmse,15.225582745513318,5016
B3,main,pooled,all,crps,7.674885439044438,5016
B3,main,pooled,all,cov50,0.4810606060606061,5016
B3,main,pooled,all,cov80,0.7908692185007975,5016
B3,main,pooled,all,cov90,0.8931419457735247,5016
B3,main,pooled,op,mae,12.903099557169888,3622
B3,main,pooled,op,rmse,17.807278384818037,3622
B3,main,pooled,op,crps,9.985090252346339,3622
B3,main,pooled,op,cov50,0.5314743235781336,3622
B3,main,pooled,op,cov80,0.8169519602429597,3622
B3,main,pooled,op,cov90,0.8934290447266704,3622
B3,main,pooled,nonop,mae,2.2572570182329614,1394
B3,main,pooled,nonop,rmse,3.1992392295439704,1394
B3,main,pooled,nonop,crps,1.6723303215555723,1394
