fold,start,candidate,seed,mae,crps,brier_mean,n_slots,n_days,phi_mean,pc_rate,epoch,tau,half_life,brier_C50,brier_n_C50,events_C50,calibration_C50,brier_C75,brier_n_C75,events_C75,calibration_C75,brier_C90,brier_n_C90,events_C90,calibration_C90
ar5,2021-07-29,B3,2,6.57670305783932,5.007357509542814,0.04614295862061365,1248,13,0.0,0.0,300,0.1,30,3.6466416489638056e-9,13,4,ok,0.07684522556864914,13,3,ok,0.06158364664655013,13,3,ok
ar5,2021-07-29,B4,2,6.921191793221694,5.092081830899525,0.05126703661716949,1248,13,0.9025417566299438,0.0,300,0.1,30,1.8660500319223306e-10,13,4,ok,0.07690055483245173,13,3,ok,0.07690055483245173,13,3,ok
ar5,2021-07-29,B4-low,2,6.349590276296322,4.846437524297299,0.04669429245246357,1248,13,0.5589677095413208,0.0,300,0.1,30,2.144019539530378e-8,13,4,ok,0.07685351750215927,13,3,ok,0.06322933841503607,13,3,ok
ar5,2021-07-29,B4-PC,2,6.349518915781608,4.846304634202789,0.04669282399074992,1248,13,0.5588573217391968,5.585301205481888,300,0.1,30,2.1443696066768135e-8,13,4,ok,0.0768532239091207,13,3,ok,0.063225226619433,13,3,ok
ar6,2021-08-05,B1,0,21.857346407356754,15.668070424233726,0.23296835389594764,1344,14,NaN,0.0,100,0.1,30,0.13238509565565665,14,7,ok,0.2851100330720627,14,4,ok,0.2814099329601237,14,2,ok
ar6,2021-08-05,B3,0,8.661596121532577,6.865133590515048,0.23614015206747996,1344,14,0.0,0.0,300,0.1,30,0.07422789126681585,14,7,ok,0.24607875788474556,14,4,ok,0.3881138070508784,14,2,ok
ar6,2021-08-05,B4,0,9.495689437502907,7.150166336872655,0.2616198924538868,1344,14,0.9029725790023804,0.0,300,0.1,30,0.07141994429399061,14,7,ok,0.2855117914847947,14,4,ok,0.42792794158287506,14,2,ok
ar6,2021-08-05,B4-low,0,8.806742468760127,6.805282963648448,0.25048197895659124,1344,14,0.5799622535705566,0.0,300,0.1,30,0.07223090506263716,14,7,ok,0.26878777939741666,14,4,ok,0.41042725240971983,14,2,ok
ar6,2021-08-05,B4-PC,0,8.806485867926053,6.805011261997787,0.25046551908144127,1344,14,0.57992023229599,5.585301205481888,300,0.1,30,0.07223090506263716,14,7,ok,0.26876391610040695,14,4,ok,0.41040173608127967,14,2,ok
ar6,2021-08-05,B3,1,8.581857783453804,6.803866453093515,0.22832374298173877,1344,14,0.0,0.0,300,0.1,30,0.07569301358988659,14,7,ok,0.2336288304228992,14,4,ok,0.3756493849324305,14,2,ok
ar6,2021-08-05,B4,1,9.444210314324923,7.217816987660104,0.2614983636144497,1344,14,0.9091570377349854,0.0,300,0.1,30,0.07141714389835464,14,7,ok,0.28550960474236753,14,4,ok,0.42756834220262707,14,2,ok
ar6,2021-08-05,B4-low,1,8.971415577190262,7.098545764264171,0.2334689347590484,1344,14,0.3608737885951996,0.0,300,0.1,30,0.0722362634884195,14,7,ok,0.2430022879201781,14,4,ok,0.38516825286854756,14,2,ok
ar6,2021-08-05,B4-PC,1,8.971436224523044,7.098484711590233,0.2334689347590484,1344,14,0.3608200252056122,5.585301205481888,300,0.1,30,0.0722362634884195,14,7,ok,0.2430022879201781,14,4,ok,0.38516825286854756,14,2,ok
ar6,2021-08-05,B3,2,8.768626526707695,6.956062701439372,0.2508634505479382,1344,14,0.0,0.0,141,0.1,30,0.07219808527831655,14,7,ok,0.269173150439121,14,4,ok,0.4112191159263771,14,2,ok
ar6,2021-08-05,B4,2,9.333371387351127,7.084594859654332,0.2614818272532523,1344,14,0.9008959531784058,0.0,300,0.1,30,0.07142361245527036,14,7,ok,0.2855163907199546,14,4,ok,0.427505478584532,14,2,ok
ar6,2021-08-05,B4-low,2,8.564751777620543,6.6979076790169145,0.25126858103259725,1344,14,0.5632725954055786,0.0,300,0.1,30,0.0723502687152937,14,7,ok,0.2697446826987804,14,4,ok,0.4117107916837176,14,2,ok
ar6,2021-08-05,B4-PC,2,8.562614568642207,6.696803766432075,0.25129095701476606,1344,14,0.5631752014160156,5.585301205481888,300,0.1,30,0.07234611171231056,14,7,ok,0.2697792013503245,14,4,ok,0.411747557981663,14,2,ok
ar7,2021-08-12,B1,0,12.41425689381219,8.5735042527224,0.08660691134646549,1344,14,NaN,0.0,100,0.1,30,0.07149860595187414,14,9,ok,0.15697617742924658,14,3,ok,0.03134595065827576,14,0,ok
ar7,2021-08-12,B3,0,12.066281290990966,9.75901711310622,0.15374149041408025,1344,14,0.0,0.0,3,0.1,30,0.0713938737745598,14,9,ok,0.19085702646476047,14,3,ok,0.19897357100292043,14,0,ok
ar7,2021-08-12,B4,0,9.601281112858228,7.837852699191152,0.09527158498710914,1344,14,0.8880596160888672,0.0,300,0.1,30,0.07139833213807535,14,9,ok,0.21130979597313507,14,3,ok,0.003106626850116979,14,0,ok
ar7,2021-08-12,B4-low,0,11.65609871631577,9.493846786458274,0.1543703601296694,1344,14,0.022882280871272087,0.0,8,0.1,30,0.0714046424690478,14,9,ok,0.19071225529566063,14,3,ok,0.20099418262429972,14,0,ok
ar7,2021-08-12,B4-PC,0,11.656098737603141,9.49384679114822,0.1543703601296694,1344,14,0.022882282733917236,5.585301205481888,8,0.1,30,0.0714046424690478,14,9,ok,0.19071225529566063,14,3,ok,0.20099418262429972,14,0,ok
ar7,2021-08-12,B3,1,10.816786850492159,8.809076796352823,0.1533379485727182,1344,14,0.0,0.0,23,0.1,30,0.07139698085943687,14,9,ok,0.18653333036355674,14,3,ok,0.202083534495161,14,0,ok
ar7,2021-08-12,B4,1,11.114151810606321,8.871142661191062,0.21152705490544502,1344,14,0.9099808931350708,0.0,300,0.1,30,0.0713929620368046,14,9,ok,0.34760901324611704,14,3,ok,0.21557918943341337,14,0,ok
ar7,2021-08-12,B4-low,1,10.672855866097269,8.684877381587265,0.1538099011938834,1344,14,0.023899488151073456,0.0,27,0.1,30,0.07139847366487025,14,9,ok,0.18819781209028735,14,3,ok,0.2018334178264926,14,0,ok
ar7,2021-08-12,B4-PC,1,10.672855866097269,8.684877368026088,0.1538099011938834,1344,14,0.023899389430880547,5.585301205481888,27,0.1,30,0.07139847366487025,14,9,ok,0.18819781209028735,14,3,ok,0.2018334178264926,14,0,ok
ar7,2021-08-12,B3,2,10.642067575738544,8.54333043794451,0.15117523178839845,1344,14,0.0,0.0,55,0.1,30,0.07140210043523314,14,9,ok,0.18494387353854055,14,3,ok,0.19717972139142168,14,0,ok
ar7,2021-08-12,B4,2,11.038205007002468,8.667935983770175,0.2748939411987262,1344,14,0.9025386571884155,0.0,300,0.1,30,0.07140752604666889,14,9,ok,0.3642073711798916,14,3,ok,0.38906692636961815,14,0,ok
ar7,2021-08-12,B4-low,2,10.51165235823109,8.42432888121363,0.1491152999208437,1344,14,0.03830011188983917,0.0,63,0.1,30,0.07140917347070862,14,9,ok,0.18308080109799588,14,3,ok,0.1928559251938267,14,0,ok
ar7,2021-08-12,B4-PC,2,10.511652752757072,8.424328963409124,0.1491152999208437,1344,14,0.03830181807279587,5.585301205481888,63,0.1,30,0.07140917347070862,14,9,ok,0.18308080109799588,14,3,ok,0.1928559251938267,14,0,ok
ar8,2021-08-18,B1,0,7.18748861930639,5.478881801627209,0.076135350116445,1272,12,NaN,0.0,100,10.0,30,0.0009754005647513546,12,10,ok,0.21157677070907868,12,2,ok,0.015853879075504944,12,0,ok
ar8,2021-08-18,B3,0,10.734124611758586,8.477999973713251,0.16557269912032893,1272,12,0.0,0.0,62,10.0,30,9.123802741528993e-10,12,10,ok,0.4336237031308263,12,2,ok,0.06309439331778015,12,0,ok
ar8,2021-08-18,B4,0,12.16490653588337,9.659588883401483,0.24379020368516136,1272,12,0.8150037527084351,0.0,300,10.0,30,4.3714028398998416e-11,12,10,ok,0.6084882254563543,12,2,ok,0.1228823855554157,12,0,ok
ar8,2021-08-18,B4-low,0,10.427455939586807,8.514208781676677,0.2517344893789494,1272,12,0.5186364054679871,0.0,300,10.0,30,1.2537158146860992e-9,12,10,ok,0.5568699963202675,12,2,ok,0.1983334705628649,12,0,ok
ar8,2021-08-18,B4-PC,0,10.427092739621049,8.514573148405995,0.23097004202738372,1272,12,0.5181589126586914,5.585301205481888,300,10.0,30,1.2689571716658772e-9,12,10,ok,0.5564828820129277,12,2,ok,0.13642724280026633,12,0,ok
ar8,2021-08-18,B3,1,10.414763553337481,8.212055252202617,0.17173965028496782,1272,12,0.0,0.0,95,10.0,30,1.0599572996078059e-11,12,10,ok,0.44654866437052826,12,2,ok,0.06867028647377554,12,0,ok
ar8,2021-08-18,B4,1,12.183933734518927,9.761634408040864,0.11793810543713339,1272,12,0.9068492650985718,0.0,300,10.0,30,8.057509400012362e-9,12,10,ok,0.34053256916121266,12,2,ok,0.0132817390926781,12,0,ok
ar8,2021-08-18,B4-low,1,10.559594935591116,8.724800057418674,0.16434093003966474,1272,12,0.3588118255138397,0.0,300,10.0,30,5.821774128192874e-9,12,10,ok,0.44512012256409245,12,2,ok,0.04790266173312768,12,0,ok
ar8,2021-08-18,B4-PC,1,10.559575831365285,8.724836348840526,0.16419454534555453,1272,12,0.358762264251709,5.585301205481888,300,10.0,30,5.821774128192874e-9,12,10,ok,0.4446795293278592,12,2,ok,0.04790410088703031,12,0,ok
ar8,2021-08-18,B3,2,10.445874900188086,8.454705314763835,0.17011999620312365,1272,12,0.0,0.0,300,10.0,30,7.104718634302631e-9,12,10,ok,0.44512953571381714,12,2,ok,0.06523044579083519,12,0,ok
ar8,2021-08-18,B4,2,11.629747181193634,9.33903018745276,0.11528861531142992,1272,12,0.8892048597335815,0.0,300,10.0,30,4.979394951770343e-10,12,10,ok,0.33114764357804066,12,2,ok,0.014718201858309651,12,0,ok
ar8,2021-08-18,B4-low,2,10.494964250978434,8.510498634045046,0.22114387697719592,1272,12,0.505108118057251,0.0,300,10.0,30,1.9766437488352506e-9,12,10,ok,0.566608022637869,12,2,ok,0.09682360631707497,12,0,ok
ar8,2021-08-18,B4-PC,2,10.49595359061499,8.511165208534488,0.2323071249170041,1272,12,0.5046159625053406,5.585301205481888,300,10.0,30,1.9881643632023113e-9,12,10,ok,0.5685686858639354,12,2,ok,0.12835268689891244,12,0,ok
