model,variant,fold,stratum,metric,value,n
B0,main,f4,nonop,auc_C50,NaN,1
B0,main,f4,nonop,n_events_C50,0.0,1
B0,main,f4,nonop,brier_raw_C75,0.0,1
B0,main,f4,nonop,auc_C75,NaN,1
B0,main,f4,nonop,n_events_C75,0.0,1
B0,main,f4,nonop,brier_raw_C90,0.0,1
B0,main,f4,nonop,auc_C90,NaN,1
B0,main,f4,nonop,n_events_C90,0.0,1
B0,main,f4,nonop,brier_mean_raw,0.0,1
B0,main,pooled,all,peak_mae,42.21568627450981,51
B0,main,pooled,all,peak_hit2,0.09803921568627451,51
B0,main,pooled,all,brier_raw_C50,0.21568627450980393,51
B0,main,pooled,all,auc_C50,0.7782258064516129,51
B0,main,pooled,all,n_events_C50,31.0,51
B0,main,pooled,all,brier_raw_C75,0.3333333333333333,51
B0,main,pooled,all,auc_C75,0.6595238095238095,51
B0,main,pooled,all,n_events_C75,21.0,51
B0,main,pooled,all,brier_raw_C90,0.2549019607843137,51
B0,main,pooled,all,auc_C90,0.6771255060728745,51
B0,main,pooled,all,n_events_C90,13.0,51
B0,main,pooled,all,brier_mean_raw,0.2679738562091503,51
B0,main,pooled,op,peak_mae,35.67567567567568,37
B0,main,pooled,op,peak_hit2,0.10810810810810811,37
B0,main,pooled,op,brier_raw_C50,0.1891891891891892,37
B0,main,pooled,op,auc_C50,0.8198924731182796,37
B0,main,pooled,op,n_events_C50,31.0,37
B0,main,pooled,op,brier_raw_C75,0.35135135135135137,37
B0,main,pooled,op,auc_C75,0.6532738095238095,37
B0,main,pooled,op,n_events_C75,21.0,37
B0,main,pooled,op,brier_raw_C90,0.24324324324324326,37
B0,main,pooled,op,auc_C90,0.7067307692307693,37
B0,main,pooled,op,n_events_C90,13.0,37
B0,main,pooled,op,brier_mean_raw,0.2612612612612613,37
B0,main,pooled,nonop,peak_mae,59.5,14
B0,main,pooled,nonop,peak_hit2,0.07142857142857142,14
B0,main,pooled,nonop,brier_raw_C50,0.2857142857142857,14
B0,main,pooled,nonop,auc_C50,NaN,14
B0,main,pooled,nonop,n_events_C50,0.0,14
